First Name,Last Name,Email,Phone Number,Location,Profession,Company,Date,Price,Hardware,Amount
Jonathon,Jennings,Gabriella.Atkinson@gmail.com,+1-232-632-2183x4062,Syrian Arab Republic,Data processing manager,Savage LLC,2025-08-14,7390,Laptop Intel Core i7,2
Laura,Scott,Melissa.Tucker@hotmail.com,001-965-465-1594,Kazakhstan,"Producer, radio","Thompson, Harris and Mills",2024-05-26,6080,Laptop Intel Core i8,4
Catherine,Foster,David.Henry@gmail.com,001-233-852-1676,Venezuela,Armed forces logistics/support/administrative officer,Thomas Ltd,2025-08-24,7292,Laptop Intel Core i5,2
Jessica,Doyle,John.Wolf@yahoo.com,258.229.3739,Guinea-Bissau,Television production assistant,"Hudson, White and Lee",2025-07-15,9097,Laptop Intel Core i2,3
Gary,Patterson,Brooke.Roman@hotmail.com,8756180241,United States of America,Geophysical data processor,"Harper, Jones and Harrison",2024-08-22,586,Laptop Intel Core i1,5
Matthew,Crawford,Tara.Black@yahoo.com,834.506.8224,Eritrea,"Physicist, medical","Young, Mejia and Vargas",2024-10-09,3339,Laptop Intel Core i6,6
Benjamin,Sanders,Christopher.Chang@hotmail.com,6438778650,Zambia,"Copywriter, advertising",Boyer Inc,2024-08-24,2560,Laptop Intel Core i4,4
Kevin,Price,Arthur.Anderson@yahoo.com,479.296.0584x2052,Ukraine,Fish farm manager,"Hernandez, Mendoza and Watson",2024-08-05,4326,Laptop Intel Core i4,0
Jennifer,Estrada,Savannah.Meyer@yahoo.com,496.790.8019,Martinique,Occupational psychologist,Hernandez-Gardner,2024-06-01,1423,Laptop Intel Core i6,0
Sarah,Jackson,Alexis.Warren@yahoo.com,656-829-4011,Iceland,Public affairs consultant,Adams-Glover,2024-10-26,4930,Laptop Intel Core i1,8
Anthony,Green,Martin.Pineda@gmail.com,(862)976-4279x873,Switzerland,"Engineer, aeronautical",Berry Inc,2024-11-20,8204,Laptop Intel Core i3,2
Curtis,Chapman,Kyle.Mcclure@yahoo.com,001-680-436-0802,Pakistan,Astronomer,"Mason, Frost and Scott",2024-11-23,352,Laptop Intel Core i2,3
Leslie,Gordon,Ashley.Mcclain@yahoo.com,+1-739-408-6380x1527,Pitcairn Islands,Location manager,"Perez, Campbell and Davis",2025-05-18,2187,Laptop Intel Core i3,2
Candace,Brown,Darlene.Bishop@hotmail.com,8753699798,Venezuela,"Producer, television/film/video","Farley, Morgan and Chambers",2025-10-20,3369,Laptop Intel Core i6,6
Bethany,Cannon,Sarah.Evans@gmail.com,001-776-667-9014x302,Tajikistan,Set designer,Reynolds PLC,2024-06-27,184,Laptop Intel Core i4,1
Kara,Douglas,Stephanie.Spencer@hotmail.com,852.402.2003,Palestinian Territory,Outdoor activities/education manager,"Miller, Tucker and Palmer",2024-02-06,885,Laptop Intel Core i6,9
